Datetime,South,Bus,temp
1443926556, 141.700326086957, 112.206164383562, 39.0
1443926708, 141.856195652174, 112.203150684932, 39.0
1443927008, 141.771630434783, 112.200410958904, 38.5
1443927308, 141.826847826087, 112.180410958904, 38.5
1443927608, 141.671739130435, 112.15095890411, 38.5
1443927908, 141.620760869565, 112.109452054795, 38.5
1443928208, 141.588369565217, 112.108082191781, 37.9
1443928508, 141.575543478261, 112.118219178082, 37.9
1443928808, 141.6025, 112.09301369863, 37.9
1443929108, 141.652065217391, 112.069726027397, 37.9
1443929408, 141.5825, 112.056301369863, 37.9
